userId,session,start,end,readWords,unknownWords,wpm,hours
Y29JrA6ygETo9ZXoTXCq,0,1569270353,1569286216,1691,1,106.48954104555054,2.342972222222223
Y29JrA6ygETo9ZXoTXCq,1,1569632453,1569632453,105,1,178.97727272727272,0.00977777777777778
YnCBKw1ZLXEgJ4iU2hK0,0,1569275870,1569283646,1982,4,154.07187632216275,0.4156666666666667
YnCBKw1ZLXEgJ4iU2hK0,1,1569357640,1569362620,2886,3,107.29495427752288,1.3121944444444447
Z1ucFe3o07yqe0ElKznC,0,1583950831,1583951265,1215,9,139.9616305102611,0.15263888888888888
Z1ucFe3o07yqe0ElKznC,1,1584730908,1584732769,3201,14,114.86217587523801,0.5074722222222221
Z1ucFe3o07yqe0ElKznC,2,1585829944,1585829944,270,2,45.556805399325086,0.06258333333333334
ZYTj0ZyUTpLsaxb0zoSB,0,1569324287,1569324863,1006,77,137.94161846522806,0.13325
ZYTj0ZyUTpLsaxb0zoSB,1,1569717539,1569717541,330,0,574.0143061516452,0.017944444444444443
ZYTj0ZyUTpLsaxb0zoSB,2,1571047863,1571048889,906,11,158.34534957836792,0.17200000000000001
bmKnPQcO48sDdLAKy5Lu,0,1569266411,1569273441,1060,39,168.045494753832,0.17300000000000001
bmKnPQcO48sDdLAKy5Lu,1,1569694783,1569695975,787,86,65.69333173999425,0.3357777777777777
bmKnPQcO48sDdLAKy5Lu,2,1570489289,1570489583,757,42,162.10352530888014,0.08516666666666667
bmKnPQcO48sDdLAKy5Lu,3,1571001884,1571002309,797,49,134.90205079747795,0.12222222222222222
bmKnPQcO48sDdLAKy5Lu,4,1571173641,1571173698,134,9,343.1412014509422,0.017
bmKnPQcO48sDdLAKy5Lu,5,1571533790,1571533790,44,0,8.426428343440792,0.08702777777777779
bmKnPQcO48sDdLAKy5Lu,6,1572726504,1572727107,890,54,96.42939943355086,0.1613611111111111
d1z1lYLUDRTJ99o9VefJ,0,1570305967,1570320583,501,0,424.83994716105894,0.18511111111111112
diFizsCHQ3um6xH7rWwb,0,1569160802,1569160802,101,0,776.9230769230769,0.0021666666666666666
dlA8HbNeY2c4dyNnK5VL,0,1570405939,1570407517,585,16,38.890679668632934,0.4463888888888889
dlA8HbNeY2c4dyNnK5VL,1,1571961240,1571961246,2310,58,61.1751325762479,1.4864722222222222
dlA8HbNeY2c4dyNnK5VL,2,1572054351,1572054351,293,5,68.5647425897036,0.07122222222222221
dlA8HbNeY2c4dyNnK5VL,3,1572315198,1572316793,1824,73,49.09383845252926,0.6291388888888889
dlA8HbNeY2c4dyNnK5VL,4,1572386494,1572388013,1078,32,55.793310814240854,0.3740277777777778
ePzlHVYs4aBaU1e3eqEr,0,1569095266,1569095269,235,3,641.5405989502933,0.006666666666666667
ePzlHVYs4aBaU1e3eqEr,1,1569186945,1569186945,105,0,414.4736842105263,0.004222222222222222
g11JTV6am9fleET7bIid,0,1569664464,1569664651,1821,0,105.77019862057938,0.35675
g11JTV6am9fleET7bIid,1,1570456305,1570456351,894,0,375.5715005650471,0.07891666666666668
g11JTV6am9fleET7bIid,2,1570966174,1570972778,3824,0,259.59737223897343,0.3440277777777777
g11JTV6am9fleET7bIid,3,1571664817,1571665190,3105,0,428.8897092775811,0.19291666666666663
g11JTV6am9fleET7bIid,4,1571736684,1571737822,3625,2,401.1946903513989,0.21180555555555552
g11JTV6am9fleET7bIid,5,1573041708,1573042370,1138,0,368.86064564728173,0.15688888888888888
