word,pos,signal,userId,cheat,session,time,eltime,wpm,i
voice,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,35.2,228.4090909090909,34
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,35.2,228.4090909090909,34
strangling,VBG,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,35.2,228.4090909090909,34
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,35.2,228.4090909090909,34
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842172,14.9,406.7114093959732,35
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842172,14.9,406.7114093959732,35
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842172,14.9,406.7114093959732,35
household,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842172,14.9,406.7114093959732,35
servants,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842172,14.9,406.7114093959732,35
knew,VBD,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842188,17.5,425.1428571428571,36
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842188,17.5,425.1428571428571,36
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842188,17.5,425.1428571428571,36
house,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842188,17.5,425.1428571428571,36
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842188,17.5,425.1428571428571,36
always,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842212,24.5,274.2857142857143,37
place,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842212,24.5,274.2857142857143,37
place,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842212,24.5,274.2857142857143,37
dropping,VBG,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842212,24.5,274.2857142857143,37
retaliating,VBG,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842231,19.9,316.58291457286435,38
place,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842231,19.9,316.58291457286435,38
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842446,9.8,679.5918367346937,39
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842446,9.8,679.5918367346937,39
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842446,9.8,679.5918367346937,39
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842453,7.8,815.3846153846154,40
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842453,7.8,815.3846153846154,40
know,VBP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842453,7.8,815.3846153846154,40
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842453,7.8,815.3846153846154,40
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842453,7.8,815.3846153846154,40
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842459,7.6,828.9473684210526,41
lips,VBZ,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842459,7.6,828.9473684210526,41
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842459,7.6,828.9473684210526,41
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842459,7.6,828.9473684210526,41
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570842459,7.6,828.9473684210526,41
The,DT,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
The,DT,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
The,DT,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
back,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
The,DT,0.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
servants,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570844451,10.9,566.9724770642201,42
